"SEGMENTID","STREET","DIRECTION","FROM_STREET","TO_STREET","LENGTH"," STREET_HEADING"," CURRENT_SPEED"," LAST_UPDATED"
"1163","Harlem","SB","Pershing","41ST","0.251006425204","S","-1","2010-07-21 14:51:14.0"
"1077","95th","WB","Central","Southwest Hwy","0.414209784714","W","-1","2010-07-21 14:51:09.0"
"1154","Harlem","SB","87th","95th","0.985856855567","S","-1","2010-07-21 14:51:14.0"
"1045","Warren","EB","Washington","Kedzie","0.32","W","-1","2010-07-21 14:51:09.0"
"1160","Harlem","SB","I-55 Expy","53RD","0.256108230285","S","-1","2010-07-21 14:51:14.0"
"751","Indianapolis","NB","106TH","Ewing","0.89","S","-1","2010-07-21 14:50:53.0"
"1113","87th","WB","Ridgeland","Harlem","0.996672897241","W","-1","2010-07-21 14:51:11.0"
"523","Caldwell","SE","Touhy","Mendota","0.59","N","-1","2012-11-02 13:21:31.0"
"1121","127th","EB","Kedzie","Western","1.02065574789","W","-1","2010-07-21 14:51:06.0"
"996","Touhy","EB","Milwaukee","Caldwell","0.64","W","-1","2010-07-21 14:51:08.0"
"1111","87th","EB","Ridgeland","Central","0.994779835109","W","-1","2010-07-21 14:51:05.0"
"1195","Oakwood","WB","Lake Shore Dr","Cottage Grove","0.35","E","-1","2011-10-27 11:31:24.0"
"743","Elston","SE","Central Park","Kedzie","0.7","N","-1","2010-07-21 14:50:53.0"
"1123","Cicero","NB","103rd","95th","1.00592669863","S","-1","2011-08-02 14:21:13.0"
"1148","Harlem","NB","Cermak","Roosevelt","1.0131203001","S","-1","2010-07-21 14:51:14.0"
"167","Ashland","SB","Clark","Bryn Mawr","0.23","N","-1","2012-11-02 13:40:59.0"
"984","Torrence","SB","112th","122ND","1.25","S","-1","2010-07-21 14:51:07.0"
"1007","Touhy","WB","I-294 Expy","Mannheim","0.89","W","-1","2010-07-21 14:51:08.0"
"745","Elston","SE","Kostner","Pulaski","0.71","N","-1","2010-07-21 14:50:53.0"
"1078","95th","WB","Cicero","Central","1.01087096799","W","-1","2010-07-21 14:51:10.0"
"1046","Warren","EB","Kedzie","California","0.5","W","-1","2011-10-28 14:11:06.0"
"1079","95th","WB","Pulaski","Cicero","1.0091051633","W","-1","2010-07-21 14:51:10.0"
"1086","127th","WB","Western","Kedzie","1.02065574789","W","-1","2010-07-21 14:51:11.0"
"1070","95th","EB","Harlem","Ridgeland","0.966706481618","W","-1","2010-07-21 14:51:03.0"
"741","Elston","SE","California","Western","0.69","N","-1","2010-07-21 14:50:53.0"
"163","Ashland","SB","Montrose","Irving Park","0.5","N","-1","2010-07-21 14:50:17.0"
"725","Elston","NW","California","Kedzie","0.71","N","-1","2010-07-21 14:50:46.0"
"1097","Roosevelt","WB","Austin","Ridgeland","0.503414826848","W","-1","2010-07-21 14:51:04.0"
"213","Roosevelt","EB","Austin","Central","0.5","W","-1","2010-07-21 14:50:33.0"
"746","Elston","SE","Cicero","Kostner","0.68","N","-1","2010-07-21 14:50:53.0"
"1072","95th","EB","Southwest Hwy","Central","0.414209784714","W","-1","2010-07-21 14:51:03.0"
"1043","Washington","EB","Pulaski","Central Park","0.51","W","-1","2010-07-21 14:50:55.0"
"1107","Archer","EB","1st Ave","Harlem","0.431797331368","W","-1","2010-07-21 14:51:05.0"
"676","Ramp To SB Dan Ryan Expy","SB","26th","31st","0.5","S","-1","2011-08-02 14:20:57.0"
"1022","Touhy","WB","Sheridan","Clark","0.57","W","-1","2010-07-21 14:50:54.0"
